2023-02-01 16:15:06,346 ERROR com.examly.springapp.exception.ResourceExceptionHandler [http-nio-8081-exec-9] Ran into Exception : JSON parse error: Cannot construct instance of `com.examly.springapp.model.child.WoodProduct`, problem: text; nested exception is com.fasterxml.jackson.databind.exc.ValueInstantiationException: Cannot construct instance of `com.examly.springapp.model.child.WoodProduct`, problem: text
 at [Source: (PushbackInputStream); line: 20, column: 5]
2023-02-01 16:17:31,139 ERROR com.examly.springapp.exception.ResourceExceptionHandler [http-nio-8081-exec-10] Ran into Exception : JSON parse error: Cannot construct instance of `com.examly.springapp.model.child.WoodProduct`, problem: text; nested exception is com.fasterxml.jackson.databind.exc.ValueInstantiationException: Cannot construct instance of `com.examly.springapp.model.child.WoodProduct`, problem: text
 at [Source: (PushbackInputStream); line: 20, column: 5]
2023-02-01 16:21:56,246 ERROR com.examly.springapp.exception.ResourceExceptionHandler [http-nio-8081-exec-3] Ran into Exception : could not extract ResultSet; SQL [n/a]; nested exception is org.hibernate.exception.SQLGrammarException: could not extract ResultSet
2023-02-01 16:22:45,994 ERROR com.examly.springapp.exception.ResourceExceptionHandler [http-nio-8081-exec-4] Ran into Exception : JSON parse error: Cannot deserialize value of type `java.util.Date` from String "2023-01-03": expected format "dd/MM/yyyy"; nested exception is com.fasterxml.jackson.databind.exc.InvalidFormatException: Cannot deserialize value of type `java.util.Date` from String "2023-01-03": expected format "dd/MM/yyyy"
 at [Source: (PushbackInputStream); line: 6, column: 27] (through reference chain: com.examly.springapp.model.child.WoodProduct["dateOfPurchase"])
2023-02-01 16:23:23,874 ERROR com.examly.springapp.exception.ResourceExceptionHandler [http-nio-8081-exec-6] Ran into Exception : could not execute statement; SQL [n/a]; nested exception is org.hibernate.exception.SQLGrammarException: could not execute statement
2023-02-01 16:24:05,101 ERROR com.examly.springapp.exception.ResourceExceptionHandler [http-nio-8081-exec-5] Ran into Exception : could not extract ResultSet; SQL [n/a]; nested exception is org.hibernate.exception.SQLGrammarException: could not extract ResultSet
2023-02-01 17:04:08,568 ERROR com.examly.springapp.exception.ResourceExceptionHandler [http-nio-8081-exec-1] Ran into Exception : could not execute statement; SQL [n/a]; nested exception is org.hibernate.exception.SQLGrammarException: could not execute statement
2023-02-01 17:06:47,519 ERROR com.examly.springapp.exception.ResourceExceptionHandler [http-nio-8081-exec-5] Ran into Exception : could not extract ResultSet; SQL [n/a]; nested exception is org.hibernate.exception.SQLGrammarException: could not extract ResultSet
2023-02-01 17:07:29,094 ERROR com.examly.springapp.exception.ResourceExceptionHandler [http-nio-8081-exec-6] Ran into Exception : could not execute statement; SQL [n/a]; nested exception is org.hibernate.exception.SQLGrammarException: could not execute statement
2023-02-01 17:18:22,088 ERROR com.examly.springapp.exception.ResourceExceptionHandler [http-nio-8081-exec-2] Ran into Exception : could not execute statement; SQL [n/a]; nested exception is org.hibernate.exception.SQLGrammarException: could not execute statement
2023-02-01 17:23:31,597 ERROR com.examly.springapp.exception.ResourceExceptionHandler [http-nio-8081-exec-5] Ran into Exception : could not extract ResultSet; SQL [n/a]; nested exception is org.hibernate.exception.SQLGrammarException: could not extract ResultSet
